caller_entry,caller_name,callee_entry,callee_name
"100128f9","FUN_100128f9","EXTERNAL:0000003f","HeapFree"
"1001294d","FUN_1001294d","EXTERNAL:0000000a","VirtualProtect"
"1001294d","FUN_1001294d","EXTERNAL:00000019","GetCurrentProcess"
"1001294d","FUN_1001294d","EXTERNAL:00000045","FlushInstructionCache"
"10012a1f","FUN_10012a1f","1001286e","FUN_1001286e"
"10012a1f","FUN_10012a1f","100128f9","FUN_100128f9"
"10012a1f","FUN_10012a1f","1001294d","FUN_1001294d"
"10012acd","FUN_10012acd","EXTERNAL:00000033","Sleep"
"10012afa","FUN_10012afa","10012acd","FUN_10012acd"
"10012afa","FUN_10012afa","EXTERNAL:0000003e","HeapCreate"
"10012b2e","FUN_10012b2e","10012550","FUN_10012550"
"10012b2e","FUN_10012b2e","10012574","FUN_10012574"
"10012b2e","FUN_10012b2e","10012acd","FUN_10012acd"
"10012b2e","FUN_10012b2e","10012d68","FUN_10012d68"
"10012b2e","FUN_10012b2e","10013008","FUN_10013008"
"10012b2e","FUN_10012b2e","10013077","FUN_10013077"
"10012b2e","FUN_10012b2e","100130c9","FUN_100130c9"
"10012b2e","FUN_10012b2e","101422e0","__security_check_cookie"
"10012c81","FUN_10012c81","10012550","FUN_10012550"
"10012c81","FUN_10012c81","1001286e","FUN_1001286e"
"10012c81","FUN_10012c81","100128f9","FUN_100128f9"
"10012c81","FUN_10012c81","1001294d","FUN_1001294d"
"10012c81","FUN_10012c81","10012a1f","FUN_10012a1f"
"10012c81","FUN_10012c81","10012acd","FUN_10012acd"
"10012d1a","FUN_10012d1a","10012c81","FUN_10012c81"
"10012d2c","FUN_10012d2c","10012c81","FUN_10012c81"
"10012d68","FUN_10012d68","10012d3d","FUN_10012d3d"
"10012d68","FUN_10012d68","100130c9","FUN_100130c9"
"10012d68","FUN_10012d68","100130f4","FUN_100130f4"
"10012d68","FUN_10012d68","101422e0","__security_check_cookie"
"10013008","FUN_10013008","EXTERNAL:00000089","VirtualAlloc"
"10013077","FUN_10013077","EXTERNAL:00000047","VirtualFree"
"100130c9","FUN_100130c9","EXTERNAL:00000024","VirtualQuery"
"100136b0","FUN_100136b0","10013930","FUN_10013930"
"100136b0","FUN_100136b0","10014e80","FUN_10014e80"
"100136b0","FUN_100136b0","1001a540","FUN_1001a540"
"100136b0","FUN_100136b0","1001a790","FUN_1001a790"
"100137e0","FUN_100137e0","100136b0","FUN_100136b0"
"100137e0","FUN_100137e0","10142a3e","FUN_10142a3e"
"100137e0","FUN_100137e0","10142a8f","FUN_10142a8f"
"10013870","FUN_10013870","101422d2","FUN_101422d2"
"10013870","FUN_10013870","1015b3c5","__invoke_watson"
"100138d0","FUN_100138d0","10142a3e","FUN_10142a3e"
"100138d0","FUN_100138d0","10142a8f","FUN_10142a8f"
"100138d0","FUN_100138d0","EXTERNAL:00000087","GetModuleHandleA"
"10013930","FUN_10013930","100138d0","FUN_100138d0"
"10013a50","FUN_10013a50","1014997e","___std_exception_copy"
"10013a80","FUN_10013a80","101499e1","FUN_101499e1"
"10013ab0","FUN_10013ab0","101422d2","FUN_101422d2"
"10013ab0","FUN_10013ab0","101499e1","FUN_101499e1"
"10013b00","FUN_10013b00","10013ae0","FUN_10013ae0"
"10013b00","FUN_10013b00","10149a62","FUN_10149a62"
"10013b20","FUN_10013b20","1014997e","___std_exception_copy"
"10013b60","FUN_10013b60","1014997e","___std_exception_copy"
"10013ba0","FUN_10013ba0","10143cc9","FUN_10143cc9"
"10013bb0","FUN_10013bb0","10013c60","FUN_10013c60"
"10013bb0","FUN_10013bb0","101433d0","FUN_101433d0"
"10013c40","FUN_10013c40","10013fd0","FUN_10013fd0"
"10013c40","FUN_10013c40","10142fcb","thunk_FUN_10162a00"
"10013c60","FUN_10013c60","10142fcb","thunk_FUN_10162a00"
"10013c60","FUN_10013c60","101433d0","FUN_101433d0"
"10013c60","FUN_10013c60","10149150","FUN_10149150"
"10013cf0","FUN_10013cf0","1015bf80","FUN_1015bf80"
"10013dc0","FUN_10013dc0","10013c60","FUN_10013c60"
"10013df0","FUN_10013df0","10013c60","FUN_10013c60"
"10013e20","FUN_10013e20","10013c60","FUN_10013c60"
"10013e70","FUN_10013e70","10013c60","FUN_10013c60"
"10013e70","FUN_10013e70","100140c0","FUN_100140c0"
"10013e70","FUN_10013e70","10014260","FUN_10014260"
"10013e70","FUN_10013e70","10019ed0","FUN_10019ed0"
"10013e70","FUN_10013e70","1015b440","FUN_1015b440"
"10013f20","FUN_10013f20","10013c60","FUN_10013c60"
"10013f20","FUN_10013f20","100140c0","FUN_100140c0"
"10013f20","FUN_10013f20","10014260","FUN_10014260"
"10013f20","FUN_10013f20","10019ed0","FUN_10019ed0"
"10013f20","FUN_10013f20","1015b440","FUN_1015b440"
"10013fd0","FUN_10013fd0","101422d2","FUN_101422d2"
"10013fd0","FUN_10013fd0","1015b3c5","__invoke_watson"
"10014040","FUN_10014040","101422d2","FUN_101422d2"
"10014040","FUN_10014040","1015b3c5","__invoke_watson"
"100140c0","FUN_100140c0","10014230","FUN_10014230"
"100140c0","FUN_100140c0","10014530","FUN_10014530"
"100140c0","FUN_100140c0","101422d2","FUN_101422d2"
"100140c0","FUN_100140c0","101422e0","__security_check_cookie"
"100140c0","FUN_100140c0","1015b3c5","__invoke_watson"
"100140c0","FUN_100140c0","EXTERNAL:000000cd","MessageBoxA"
"100140c0","FUN_100140c0","EXTERNAL:000000e1","GetActiveWindow"
"100141c0","FUN_100141c0","10013b00","FUN_10013b00"
"100141c0","FUN_100141c0","10142b34","FUN_10142b34"
"100141c0","FUN_100141c0","1015b3c5","__invoke_watson"
"10014230","FUN_10014230","10013a40","FUN_10013a40"
"10014230","FUN_10014230","10154101","FUN_10154101"
"10014260","FUN_10014260","10013b00","FUN_10013b00"
"10014260","FUN_10014260","10014470","FUN_10014470"
"10014260","FUN_10014260","101422d2","FUN_101422d2"
"10014260","FUN_10014260","10142b34","FUN_10142b34"
"10014260","FUN_10014260","10149150","FUN_10149150"
"10014260","FUN_10014260","1015b3c5","__invoke_watson"
"10014430","FUN_10014430","101422d2","FUN_101422d2"
"10014430","FUN_10014430","1015b3c5","__invoke_watson"
"10014470","FUN_10014470","10143cc9","FUN_10143cc9"
"10014480","FUN_10014480","101422d2","FUN_101422d2"
"10014480","FUN_10014480","1015b3c5","__invoke_watson"
"100144d0","FUN_100144d0","10142b34","FUN_10142b34"
"100144d0","FUN_100144d0","1015b3c5","__invoke_watson"
"10014530","FUN_10014530","10013b00","FUN_10013b00"
"10014530","FUN_10014530","10013ba0","FUN_10013ba0"
"10014530","FUN_10014530","101422d2","FUN_101422d2"
"10014530","FUN_10014530","10142b34","FUN_10142b34"
"10014530","FUN_10014530","10149150","FUN_10149150"
"10014530","FUN_10014530","1015b3c5","__invoke_watson"
"10014670","FUN_10014670","10013b00","FUN_10013b00"
"10014670","FUN_10014670","10142b34","FUN_10142b34"
"10014670","FUN_10014670","1015b3c5","__invoke_watson"
"10014ab0","FUN_10014ab0","100156e0","FUN_100156e0"
"10014b30","FUN_10014b30","100156e0","FUN_100156e0"
"10014b30","FUN_10014b30","101422d2","FUN_101422d2"
"10014bc0","FUN_10014bc0","10015040","FUN_10015040"
"10014bc0","FUN_10014bc0","EXTERNAL:00000087","GetModuleHandleA"
"10014dd0","FUN_10014dd0","10014bc0","FUN_10014bc0"
"10014dd0","FUN_10014dd0","10142a3e","FUN_10142a3e"
"10014dd0","FUN_10014dd0","10142a8f","FUN_10142a8f"
"10014e80","FUN_10014e80","10014bc0","FUN_10014bc0"
"10014e80","FUN_10014e80","10142a3e","FUN_10142a3e"
"10014e80","FUN_10014e80","10142a8f","FUN_10142a8f"
"10014f30","FUN_10014f30","10149150","FUN_10149150"
"10014f30","FUN_10014f30","EXTERNAL:0000000a","VirtualProtect"
"10014fe0","FUN_10014fe0","10014f30","FUN_10014f30"
"10014fe0","FUN_10014fe0","1014ce94","FID_conflict:__assert"
"10015040","FUN_10015040","EXTERNAL:0000000a","VirtualProtect"
"100150e0","FUN_100150e0","10015040","FUN_10015040"
"100150e0","FUN_100150e0","EXTERNAL:0000000a","VirtualProtect"
"10015250","FUN_10015250","EXTERNAL:0000000a","VirtualProtect"
"100152f0","FUN_100152f0","EXTERNAL:0000000a","VirtualProtect"
"10015390","FUN_10015390","EXTERNAL:0000000a","VirtualProtect"
"10015430","FUN_10015430","100152f0","FUN_100152f0"
"10015430","FUN_10015430","10015390","FUN_10015390"
"10015430","FUN_10015430","EXTERNAL:0000000a","VirtualProtect"
"10015550","FUN_10015550","100150e0","FUN_100150e0"
"10015550","FUN_10015550","10015430","FUN_10015430"
"10015550","FUN_10015550","EXTERNAL:0000000a","VirtualProtect"
"10015630","FUN_10015630","10015550","FUN_10015550"
"100156e0","FUN_100156e0","10149150","FUN_10149150"
"100156e0","FUN_100156e0","EXTERNAL:0000000a","VirtualProtect"
"10015790","FUN_10015790","100156e0","FUN_100156e0"
"100157c0","`scalar_deleting_destructor'","101422d2","FUN_101422d2"
"10015810","FUN_10015810","10143ce9","FUN_10143ce9"
"10015820","FUN_10015820","101422d2","FUN_101422d2"
"10015840","FUN_10015840","10142b34","FUN_10142b34"
"10015840","FUN_10015840","10143cc9","FUN_10143cc9"
"10015900","FUN_10015900","10149a03","___std_type_info_compare"
"10015920","FUN_10015920","101422d2","FUN_101422d2"
"100159d0","FUN_100159d0","101422d2","FUN_101422d2"
"100159d0","FUN_100159d0","1015b3c5","__invoke_watson"
"10015eb0","FUN_10015eb0","10015e80","FUN_10015e80"
"10015eb0","FUN_10015eb0","10149a62","FUN_10149a62"
"10015ed0","FUN_10015ed0","1014997e","___std_exception_copy"
"10015f10","FUN_10015f10","10143df0","FUN_10143df0"
"10015f10","FUN_10015f10","10143fc4","FUN_10143fc4"
"100160a0","FUN_100160a0","100161e0","FUN_100161e0"
"10016160","FUN_10016160","100161e0","FUN_100161e0"
"100161e0","FUN_100161e0","10016610","FUN_10016610"
"10016290","FUN_10016290","10018d40","FUN_10018d40"
"10016290","FUN_10016290","10142a3e","FUN_10142a3e"
"10016290","FUN_10016290","10142a8f","FUN_10142a8f"
"10016290","FUN_10016290","10142b34","FUN_10142b34"
"10016290","FUN_10016290","10142e6b","FUN_10142e6b"
"10016290","FUN_10016290","10143df0","FUN_10143df0"
"10016290","FUN_10016290","10143e26","FUN_10143e26"
"10016290","FUN_10016290","10143fc4","FUN_10143fc4"
"100164c0","FUN_100164c0","10016570","FUN_10016570"
"100164c0","FUN_100164c0","101422d2","FUN_101422d2"
"100164c0","FUN_100164c0","1015b3c5","__invoke_watson"
"10016570","FUN_10016570","100167a0","FUN_100167a0"
"10016570","FUN_10016570","10143df0","FUN_10143df0"
"10016570","FUN_10016570","10143e26","FUN_10143e26"
"10016570","FUN_10016570","10143fc4","FUN_10143fc4"
"10016610","FUN_10016610","10018ee0","FUN_10018ee0"
"10016610","FUN_10016610","10019330","FUN_10019330"
"10016610","FUN_10016610","101422d2","FUN_101422d2"
"10016610","FUN_10016610","10142b34","FUN_10142b34"
"10016610","FUN_10016610","10143df0","FUN_10143df0"
"10016610","FUN_10016610","10143e26","FUN_10143e26"
"10016610","FUN_10016610","10143fc4","FUN_10143fc4"
"100167a0","FUN_100167a0","10015eb0","FUN_10015eb0"
"100167a0","FUN_100167a0","10015fd0","FUN_10015fd0"
"100167a0","FUN_100167a0","100161e0","FUN_100161e0"
"100167a0","FUN_100167a0","10016610","FUN_10016610"
"100167a0","FUN_100167a0","10016b40","FUN_10016b40"
"100167a0","FUN_100167a0","100191f0","FUN_100191f0"
"100167a0","FUN_100167a0","10019330","FUN_10019330"
"100167a0","FUN_100167a0","10019380","FUN_10019380"
"100167a0","FUN_100167a0","101422d2","FUN_101422d2"
"100167a0","FUN_100167a0","10142b34","FUN_10142b34"
"100167a0","FUN_100167a0","EXTERNAL:0000002e","GetSystemInfo"
"10016b40","FUN_10016b40","10016db0","FUN_10016db0"
"10016b40","FUN_10016b40","EXTERNAL:00000024","VirtualQuery"
"10016b40","FUN_10016b40","EXTERNAL:0000002e","GetSystemInfo"
"10016b40","FUN_10016b40","EXTERNAL:00000089","VirtualAlloc"
"10016db0","FUN_10016db0","EXTERNAL:00000089","VirtualAlloc"
"10016e40","FUN_10016e40","10015f50","FUN_10015f50"
"10016e40","FUN_10016e40","100161e0","FUN_100161e0"
"10016e40","FUN_10016e40","10017440","FUN_10017440"
"10016e40","FUN_10016e40","10018290","FUN_10018290"
"10016e40","FUN_10016e40","10018910","FUN_10018910"
"10016e40","FUN_10016e40","101496d0","_memset"
"10016fb0","FUN_10016fb0","100161e0","FUN_100161e0"
"10016fb0","FUN_10016fb0","10017440","FUN_10017440"
"10017040","FUN_10017040","10018c80","FUN_10018c80"
"10017040","FUN_10017040","101496d0","_memset"
"10017040","FUN_10017040","EXTERNAL:0000000a","VirtualProtect"
"10017160","FUN_10017160","10015f50","FUN_10015f50"
"10017160","FUN_10017160","10017210","FUN_10017210"
"10017160","FUN_10017160","10017440","FUN_10017440"
"10017160","FUN_10017160","10017520","FUN_10017520"
"10017160","FUN_10017160","101496d0","_memset"
"10017210","FUN_10017210","100172a0","FUN_100172a0"
"100172a0","FUN_100172a0","10013870","FUN_10013870"
"100172a0","FUN_100172a0","100160a0","FUN_100160a0"
"100172a0","FUN_100172a0","10018170","FUN_10018170"
"100172a0","FUN_100172a0","10143df0","FUN_10143df0"
"100172a0","FUN_100172a0","10143e01","FUN_10143e01"
"100172a0","FUN_100172a0","10143e26","FUN_10143e26"
"100172a0","FUN_100172a0","10143fc4","FUN_10143fc4"
"100172a0","FUN_100172a0","10148465","SwitchToThread"
"10017440","FUN_10017440","100161e0","FUN_100161e0"
"10017440","FUN_10017440","10018170","FUN_10018170"
"10017440","FUN_10017440","101422d2","FUN_101422d2"
"10017440","FUN_10017440","1015b3c5","__invoke_watson"
"10017520","FUN_10017520","10013b00","FUN_10013b00"
"10017520","FUN_10017520","10014470","FUN_10014470"
"10017520","FUN_10017520","100161e0","FUN_100161e0"
"10017520","FUN_10017520","10016610","FUN_10016610"
"10017520","FUN_10017520","100167a0","FUN_100167a0"
"10017520","FUN_10017520","10017040","FUN_10017040"
"10017520","FUN_10017520","10018ab0","FUN_10018ab0"
"10017520","FUN_10017520","10019000","FUN_10019000"
"10017520","FUN_10017520","10019530","FUN_10019530"
"10017520","FUN_10017520","100196f0","FUN_100196f0"
"10017520","FUN_10017520","10019910","FUN_10019910"
"10017520","FUN_10017520","1001f900","FUN_1001f900"
"10017520","FUN_10017520","101422d2","FUN_101422d2"
"10017520","FUN_10017520","101422e0","__security_check_cookie"
"10017520","FUN_10017520","10142b34","FUN_10142b34"
"10017520","FUN_10017520","10143df0","FUN_10143df0"
"10017520","FUN_10017520","10143e26","FUN_10143e26"
"10017520","FUN_10017520","10143fc4","FUN_10143fc4"
"10017520","FUN_10017520","10149150","FUN_10149150"
"10017520","FUN_10017520","101496d0","_memset"
"10017520","FUN_10017520","1015b3c5","__invoke_watson"
"10018170","FUN_10018170","100161e0","FUN_100161e0"
"10018170","FUN_10018170","10018ab0","FUN_10018ab0"
"10018170","FUN_10018170","100196f0","FUN_100196f0"
"10018170","FUN_10018170","101422e0","__security_check_cookie"
"10018170","FUN_10018170","10143df0","FUN_10143df0"
"10018170","FUN_10018170","10143e26","FUN_10143e26"
"10018170","FUN_10018170","10143fc4","FUN_10143fc4"
"10018290","FUN_10018290","10016290","FUN_10016290"
"10018290","FUN_10018290","10018330","FUN_10018330"
"10018330","FUN_10018330","10015f50","FUN_10015f50"
"10018330","FUN_10018330","100164c0","FUN_100164c0"
"10018330","FUN_10018330","10016610","FUN_10016610"
"10018330","FUN_10018330","10017160","FUN_10017160"
"10018330","FUN_10018330","100172a0","FUN_100172a0"
"10018330","FUN_10018330","10017440","FUN_10017440"
"10018330","FUN_10018330","10018910","FUN_10018910"
"10018330","FUN_10018330","10149150","FUN_10149150"
"10018330","FUN_10018330","101496d0","_memset"
"10018910","FUN_10018910","10015f50","FUN_10015f50"
"10018910","FUN_10018910","10016610","FUN_10016610"
"10018910","FUN_10018910","100172a0","FUN_100172a0"
"10018910","FUN_10018910","101496d0","_memset"
"10018ab0","FUN_10018ab0","101422e0","__security_check_cookie"
"10018ab0","FUN_10018ab0","101496d0","_memset"
"10018ab0","FUN_10018ab0","EXTERNAL:00000009","GetCurrentThreadId"
"10018ab0","FUN_10018ab0","EXTERNAL:00000011","CloseHandle"
"10018ab0","FUN_10018ab0","EXTERNAL:00000019","GetCurrentProcess"
"10018ab0","FUN_10018ab0","EXTERNAL:00000020","SuspendThread"
"10018ab0","FUN_10018ab0","EXTERNAL:00000021","ResumeThread"
"10018ab0","FUN_10018ab0","EXTERNAL:00000022","GetThreadContext"
"10018ab0","FUN_10018ab0","EXTERNAL:00000049","GetThreadId"
"10018ab0","FUN_10018ab0","EXTERNAL:0000011f","NtGetNextThread"
"10018c80","FUN_10018c80","EXTERNAL:0000000a","VirtualProtect"
"10018d40","FUN_10018d40","10019240","FUN_10019240"
"10018d40","FUN_10018d40","10019250","FUN_10019250"
"10018d40","FUN_10018d40","10142b34","FUN_10142b34"
"10018e50","FUN_10018e50","10143e26","FUN_10143e26"
"10018e70","FUN_10018e70","10019650","FUN_10019650"
"10018e70","FUN_10018e70","101422d2","FUN_101422d2"
"10018e70","FUN_10018e70","1015b3c5","__invoke_watson"
"10018ee0","FUN_10018ee0","10018ee0","FUN_10018ee0"
"10018ee0","FUN_10018ee0","101422d2","FUN_101422d2"
"10018f10","FUN_10018f10","100161e0","FUN_100161e0"
"10019000","FUN_10019000","10014470","FUN_10014470"
"10019000","FUN_10019000","100194e0","FUN_100194e0"
"10019000","FUN_10019000","100199b0","FUN_100199b0"
"10019000","FUN_10019000","100199f0","FUN_100199f0"
"10019000","FUN_10019000","10149150","FUN_10149150"
"10019250","FUN_10019250","10018e70","FUN_10018e70"
"10019250","FUN_10019250","101422d2","FUN_101422d2"
"100192c0","FUN_100192c0","10018e70","FUN_10018e70"
"100192c0","FUN_100192c0","101422d2","FUN_101422d2"
"10019330","FUN_10019330","10018ee0","FUN_10018ee0"
"10019330","FUN_10019330","101422d2","FUN_101422d2"
"10019360","FUN_10019360","101422d2","FUN_101422d2"
"10019380","FUN_10019380","10013b00","FUN_10013b00"
"10019380","FUN_10019380","10014470","FUN_10014470"
"10019380","FUN_10019380","10019650","FUN_10019650"
"10019380","FUN_10019380","10019a50","FUN_10019a50"
"10019380","FUN_10019380","101422d2","FUN_101422d2"
"10019380","FUN_10019380","10142b34","FUN_10142b34"
"10019380","FUN_10019380","1015b3c5","__invoke_watson"
"100194e0","FUN_100194e0","10142b34","FUN_10142b34"
"100194e0","FUN_100194e0","1015b3c5","__invoke_watson"
"10019530","FUN_10019530","10014470","FUN_10014470"
"10019530","FUN_10019530","10019a90","FUN_10019a90"
"10019530","FUN_10019530","101422d2","FUN_101422d2"
"10019530","FUN_10019530","10149150","FUN_10149150"
"10019530","FUN_10019530","1015b3c5","__invoke_watson"
"10019650","FUN_10019650","10018ee0","FUN_10018ee0"
"10019650","FUN_10019650","101422d2","FUN_101422d2"
"10019650","FUN_10019650","EXTERNAL:00000047","VirtualFree"
"100196f0","FUN_100196f0","101422d2","FUN_101422d2"
"100197c0","FUN_100197c0","10018c80","FUN_10018c80"
"100197c0","FUN_100197c0","10149150","FUN_10149150"
"100197c0","FUN_100197c0","EXTERNAL:0000000a","VirtualProtect"
"10019910","FUN_10019910","101422d2","FUN_101422d2"
"10019940","FUN_10019940","10017040","FUN_10017040"
"100199b0","FUN_100199b0","101422d2","FUN_101422d2"
"100199b0","FUN_100199b0","1015b3c5","__invoke_watson"
"100199f0","FUN_100199f0","101422d2","FUN_101422d2"
"100199f0","FUN_100199f0","1015b3c5","__invoke_watson"
"10019a50","FUN_10019a50","10019650","FUN_10019650"
"10019a90","FUN_10019a90","10013b00","FUN_10013b00"
"10019a90","FUN_10019a90","10142b34","FUN_10142b34"
"10019a90","FUN_10019a90","1015b3c5","__invoke_watson"
"10019ed0","FUN_10019ed0","100140c0","FUN_100140c0"
"10019ed0","FUN_10019ed0","10142a3e","FUN_10142a3e"
"10019ed0","FUN_10019ed0","10142a8f","FUN_10142a8f"
"10019ed0","FUN_10019ed0","10149ad0","FUN_10149ad0"
"10019ed0","FUN_10019ed0","1015b440","FUN_1015b440"
"10019ed0","FUN_10019ed0","EXTERNAL:00000025","GetModuleFileNameA"
"10019ed0","FUN_10019ed0","EXTERNAL:00000026","GetModuleHandleExA"
"10019fe0","FUN_10019fe0","100140c0","FUN_100140c0"
"10019fe0","FUN_10019fe0","10142a3e","FUN_10142a3e"
"10019fe0","FUN_10019fe0","10142a8f","FUN_10142a8f"
"10019fe0","FUN_10019fe0","10149ad0","FUN_10149ad0"
"10019fe0","FUN_10019fe0","EXTERNAL:00000025","GetModuleFileNameA"
"10019fe0","FUN_10019fe0","EXTERNAL:00000087","GetModuleHandleA"
"1001a0d0","FUN_1001a0d0","10019fe0","FUN_10019fe0"
"1001a0d0","FUN_1001a0d0","1015b440","FUN_1015b440"
"1001a0d0","FUN_1001a0d0","1015bee0","FUN_1015bee0"
"1001a120","FUN_1001a120","100150e0","FUN_100150e0"
"1001a120","FUN_1001a120","10015430","FUN_10015430"
"1001a120","FUN_1001a120","EXTERNAL:0000000a","VirtualProtect"
"1001a200","FUN_1001a200","101496d0","_memset"
"1001a200","FUN_1001a200","EXTERNAL:0000000a","VirtualProtect"
"1001a2b0","FUN_1001a2b0","10013930","FUN_10013930"
"1001a2b0","FUN_1001a2b0","10014e80","FUN_10014e80"
"1001a2b0","FUN_1001a2b0","10015550","FUN_10015550"
"1001a2f0","FUN_1001a2f0","10013930","FUN_10013930"
"1001a2f0","FUN_1001a2f0","10014e80","FUN_10014e80"
"1001a2f0","FUN_1001a2f0","100150e0","FUN_100150e0"
"1001a2f0","FUN_1001a2f0","10015430","FUN_10015430"
"1001a2f0","FUN_1001a2f0","EXTERNAL:0000000a","VirtualProtect"
"1001a3e0","FUN_1001a3e0","10013930","FUN_10013930"
"1001a3e0","FUN_1001a3e0","10014e80","FUN_10014e80"
"1001a3e0","FUN_1001a3e0","EXTERNAL:0000000a","VirtualProtect"
"1001a490","FUN_1001a490","10013930","FUN_10013930"
"1001a490","FUN_1001a490","10014e80","FUN_10014e80"
"1001a490","FUN_1001a490","EXTERNAL:0000000a","VirtualProtect"
"1001a540","FUN_1001a540","10013930","FUN_10013930"
"1001a540","FUN_1001a540","10014e80","FUN_10014e80"
"1001a540","FUN_1001a540","1001a790","FUN_1001a790"
"1001a570","FUN_1001a570","10013930","FUN_10013930"
"1001a570","FUN_1001a570","10014e80","FUN_10014e80"
"1001a570","FUN_1001a570","EXTERNAL:0000000a","VirtualProtect"
"1001a620","FUN_1001a620","10013930","FUN_10013930"
"1001a620","FUN_1001a620","10014e80","FUN_10014e80"
"1001a620","FUN_1001a620","100150e0","FUN_100150e0"
"1001a620","FUN_1001a620","10015430","FUN_10015430"
"1001a620","FUN_1001a620","EXTERNAL:0000000a","VirtualProtect"
"1001a700","FUN_1001a700","10013930","FUN_10013930"
"1001a700","FUN_1001a700","10014e80","FUN_10014e80"
"1001a700","FUN_1001a700","100156e0","FUN_100156e0"
"1001a730","FUN_1001a730","10013930","FUN_10013930"
"1001a730","FUN_1001a730","10014e80","FUN_10014e80"
"1001a730","FUN_1001a730","100152f0","FUN_100152f0"
"1001a730","FUN_1001a730","10015390","FUN_10015390"
"1001a790","FUN_1001a790","EXTERNAL:0000000a","VirtualProtect"
"1001ac40","FUN_1001ac40","100136a0","guard_check_icall"
"1001ad50","FUN_1001ad50","100136a0","guard_check_icall"
"1001afa0","FUN_1001afa0","1014ce94","FID_conflict:__assert"
"1001b1e0","FUN_1001b1e0","1014ce94","FID_conflict:__assert"
"1001b440","FUN_1001b440","1014ce94","FID_conflict:__assert"
"1001b610","FUN_1001b610","1014ce94","FID_conflict:__assert"
