entry,name,size
00409c90,Streaming::SetMissionDoesntRequireModel,113
00409d10,Streaming::RequestSpecialModel,726
0040a080,Streaming::RequestFile,5
0040a120,Streaming::LoadInitialWeapons,5
0040a150,Streaming::StreamCopModels,5
0040a2a0,Streaming::StreamAmbulanceAndMedic,347
0040a400,Streaming::StreamFireEngineAndFireman,5
0040a560,Streaming::StreamZoneModels,10
0040aa10,Streaming::StreamZoneModels_Gangs,1408
0040afa0,Streaming::ReclassifyLoadedCars,10
0040b080,Streaming::RemoveCurrentZonesModels,5
0040b340,Streaming::RemoveLoadedZoneModel,5
0040b3a0,Streaming::RemoveInappropriatePedModels,5
0040b450,Streaming::RequestSpecialChar,19
0040b490,Streaming::CStreaming::SetMissionDoesntRequireSpecialChar,18
0040b4f0,Streaming::StreamOneNewCar,5
0040b650,Streaming::StreamVehiclesAndPeds_Always,164
0040b700,Streaming::StreamVehiclesAndPeds,875
0040ba70,Streaming::PossiblyStreamCarOutAfterCreation,5
0040baa0,Streaming::ClearSlots,253
0040bbb0,Streaming::StreamPedsForInterior,343
0040bda0,Streaming::StreamPedsIntoRandomSlots,5
0040be60,Streaming::RemoveDodgyPedsFromRandomSlots,257
0040c020,Streaming::RemoveLoadedVehicle,335
0040c180,Streaming::RemoveTxdModel,18
0040c520,Streaming::AddLodsToRequestList,377
0040c6b0,Streaming::ConvertBufferToObject,1250
0040cba0,Streaming::RequestModelStream,988
0040cf80,Streaming::RemoveAllUnusedModels,5
0040cfd0,Streaming::RemoveLeastUsedModel,662
0040d2f0,Streaming::RemoveReferencedTxds,205
0040d3d0,Streaming::LoadInitialPeds,5
0040d3f0,Streaming::AddModelsToRequestList,8
0040d7c0,Streaming::DeleteRwObjectsBehindCamera,2388
0040e120,Streaming::MakeSpaceFor,5
0040e170,Streaming::ProcessLoadingChannel,545
0040e3a0,Streaming::LoadRequestedModels,5
0040e460,Streaming::FlushChannels,128
0040e4e0,Streaming::FlushRequestList,125
0040e560,Streaming::ReInit,5
0040e670,Streaming::Update,866
0040ea10,Streaming::LoadAllRequestedModels,5
0040eb70,Streaming::LoadScene,514
0040ed80,Streaming::LoadSceneCollision,83
0041b7c0,PedGeometryAnalyser::new,6
0041b7d0,PedGeometryAnalyser::delete,5
0041b950,AutoPilot::CAutoPilot::RemoveOnePathNode,5
0041b980,AutoPilot (thunk),752
0041bc70,Bridge::Init,1
0041bc80,Bridge::Update,1
0041bc90,Bridge::ShouldLightsBeFlashing,3
0041bcb0,Bridge::CBridge::ThisIsABridgeObjectMovingUp,3
0041bf10,TaskComplexSequence::Contains,56
0041bf70,CarAI::FindSwitchDistanceFar,42
0041bfa0,CarAI::BackToCruisingIfNoWantedLevel,5
0041c070,CarAI::AddPoliceCarOccupants,6
0041c4a0,CarAI::AddAmbulanceOccupants,5
0041c600,CarAI::AddFiretruckOccupants,5
0041c760,CarAI::TellOccupantsToLeaveCar,5
0041c960,CarAI::TellCarToFollowOtherCar,4
0041c9d0,CarAI::FindPoliceCarMissionForWantedLevel,74
0041ca40,CarAI::FindPoliceBikeMissionForWantedLevel,3
0041ca50,CarAI::FindPoliceBoatMissionForWantedLevel,5
0041caa0,CarAI::FindPoliceCarSpeedForWantedLevel,16
0041cd00,CarAI::EntitiesGoHeadOn,291
0041ce30,CarAI::GetCarToGoToCoors,360
0041cfb0,CarAI::GetCarToGoToCoorsStraightLine,294
0041d0e0,CarAI::GetCarToGoToCoorsAccurate,294
0041d210,CarAI::GetCarToGoToCoorsRacing,312
0041d350,CarAI::GetCarToParkAtCoors,120
0041d3d0,CarAI::MellowOutChaseSpeed,638
0041d660,CarAI::MakeWayForCarWithSiren,973
0041da30,CarAI::UpdateCarAI,6
00420a10,PathFind::GetPosition,71
00420c40,Camera::CCamera::IsSphereVisible,255
00420e30,TaskTimer::IsOutOfTime,5
00420e70,EventAcquaintancePedHate::Constructor2,5
00420ed0,EventEditableResponse::Clone,32
00421050,MentalHealth::CMentalState::IncrementAnger,5
00421150,TaskComplexLeaveAnyCar::Constructor,5
004211c0,TaskComplexLeaveAnyCar::Clone,114
00421270,TaskComplexLeaveAnyCar::Destructor,11
004212e0,CarCtrl::Init,197
004213b0,CarCtrl::ReInit,131
00421440,CarCtrl::GetNewVehicleDependingOnCarModel,6
00421740,CarCtrl::InitSequence,5
00421770,CarCtrl::CCarCtrl::FindSequenceElement,5
004217c0,CarCtrl::CCarCtrl::SetUpDriverAndPassengersForVehicle,307
00421900,CarCtrl::ChooseCarModelToLoad,105
00421980,CarCtrl::ChoosePoliceCarModel,184
00421fe0,CarCtrl::CCarCtrl::ThisVehicleShouldTryNotToTurn,38
00422090,CarCtrl::CCarCtrl::FindPathDirection,318
004222a0,CarCtrl::CCarCtrl::SwitchBetweenPhysicsAndGhost,208
00422370,CarCtrl (thunk),365
004224e0,CarCtrl::CCarCtrl::FindSpeedMultiplier,167
00422590,CarCtrl::CCarCtrl::StopCarIfNodesAreInvalid,5
00422620,CarCtrl::CCarCtrl::FindPercDependingOnDistToLink,208
004226f0,CarCtrl::CCarCtrl::FindIntersection2Lines,100
00422760,CarCtrl::CCarCtrl::ClitargetOrientationToLink,1
00422b20,CarCtrl::CCarCtrl::SteerAICarBlockingPlayerForwardAndBack,745
00423000,CarCtrl::CCarCtrl::FlyAIPlaneInCertainDirection,5
00423790,CarCtrl::CCarCtrl::SteerAIPlaneTowardsTargetCoors,75
004237f0,CarCtrl::CCarCtrl::SteerAIPlaneToFollowEntity,141
00423880,CarCtrl::CCarCtrl::SteerAIPlaneToCrashAndBurn,5
004238e0,CarCtrl::CCarCtrl::SteerAIHeliToCrashAndBurn,89
00423940,CarCtrl::CCarCtrl::FlyAIHeliToTarget_FixedOrientation,1167
00423de0,CarCtrl::CCarCtrl::RegisterVehicleOfInterest,169
00423ea0,CarCtrl::IsThisVehicleInteresting,33
00423ed0,CarCtrl::RemoveFromInterestingVehicleList,5
00423f00,CarCtrl::CCarCtrl::ClearInterestingVehicleList,5
00423f10,CarCtrl::PruneVehiclesOfInterest,107
00423fc0,CarCtrl::CCarCtrl::SwitchVehicleToRealPhysics,5
00424000,CarCtrl::CCarCtrl::UpdateCarCount,19
00424130,CarCtrl::CCarCtrl::FindSpeedMultiplierWithSpeedFromNodes,44
00424210,CarCtrl::CCarCtrl::GenerateCarCreationCoors2,2751
00424ce0,CarCtrl::CCarCtrl::ChooseModel,672
00424f80,CarCtrl::CCarCtrl::PossiblyRemoveVehicle,1204
00425440,CarCtrl::CCarCtrl::SlowCarDownForPedsSectorList,1761
00425b30,CarCtrl::CCarCtrl::TestCollisionBetween2MovingRects,40
00425f70,CarCtrl::CCarCtrl::TestCollisionBetween2MovingRects_OnlyFrontBumper,672
00426220,CarCtrl::SlowCarDownForObject,293
00426350,CarCtrl::CCarCtrl::WeaveForOtherCar,1558
00426bc0,CarCtrl::CCarCtrl::WeaveForObject,803
00426ef0,CarCtrl::CCarCtrl::PickNextNodeToChaseCar,151
00427fe0,CarCtrl::FindMaxSteerAngle,89
00428040,CarCtrl::CCarCtrl::DealWithBend_Racing,19
00428990,CarCtrl::CCarCtrl::SteerAICarWithPhysicsTryingToBlockTarget_Stop,583
00428be0,CarCtrl::CCarCtrl::SteerAIBoatWithPhysicsHeadingForTarget,416
00428de0,CarCtrl::CCarCtrl::SteerAIBoatWithPhysicsAttackingPlayer,684
00429090,CarCtrl::CCarCtrl::SteerAIBoatWithPhysicsCirclingPlayer,613
00429300,CarCtrl::CCarCtrl::TriggerDogFightMoves,526
00429520,CarCtrl::CCarCtrl::TestWhetherToFirePlaneGuns,14
00429600,CarCtrl::PossiblyFireHSMissile,381
00429780,CarCtrl::CCarCtrl::GetAIPlaneToAttackPlayer,261
00429890,CarCtrl::CCarCtrl::GetAIPlaneToDoDogFight,472
00429a70,CarCtrl::CCarCtrl::FlyAIHeliInCertainDirection,2994
0042a630,CarCtrl::CCarCtrl::SteerAIHeliTowardsTargetCoors,244
0042a730,CarCtrl::CCarCtrl::GetAIHeliToFlyInDirection,5
0042a750,CarCtrl::CCarCtrl::SteerAIHeliToFollowEntity,896
0042aad0,CarCtrl::CCarCtrl::SteerAIHeliAsPoliceHeli,475
0042acb0,CarCtrl::CCarCtrl::SteerAIHeliFlyingAwayFromPlayer,122
0042ad30,CarCtrl::CCarCtrl::SteerAIHeliToLand,370
0042aeb0,CarCtrl::CCarCtrl::SteerAIHeliToKeepEntityInView,939
0042b270,CarCtrl::CCarCtrl::FireHeliRocketsAtTarget,506
0042b470,CarCtrl::CCarCtrl::FindLinksToGoWithTheseNodes,862
0042b7d0,CarCtrl::CCarCtrl::GenerateOneEmergencyServicesCar,2
0042bd20,CarCtrl::CCarCtrl::FindNodesThisCarIsNearestTo,1323
0042c250,CarCtrl::IsAnyoneParking,5
0042c2b0,CarCtrl::CCarCtrl::CreatePoliceChase,1161
0042c740,CarCtrl::CCarCtrl::CreateConvoy,1168
0042cd10,CarCtrl::RemoveDistantCars,289
0042ce40,CarCtrl::CCarCtrl::ScanForPedDanger,657
0042d0e0,CarCtrl::CCarCtrl::SlowCarDownForOtherCar,1032
0042d4f0,CarCtrl::CCarCtrl::SlowCarDownForObjectsSectorList,391
0042d680,CarCtrl::CCarCtrl::WeaveThroughCarsSectorList,341
0042d7e0,CarCtrl::CCarCtrl::WeaveThroughPedsSectorList,346
0042d950,CarCtrl::CCarCtrl::WeaveThroughObjectsSectorList,343
0042dab0,CarCtrl::CCarCtrl::IsThisAnAppropriateNode,932
0042de80,CarCtrl::CCarCtrl::PickNextNodeRandomly,3591
0042ec90,CarCtrl::CCarCtrl::DragCarToPoint,1748
0042f370,CarCtrl::CCarCtrl::GetAIPlaneToDoDogFightAgainstPlayer,76
0042f3c0,CarCtrl::CCarCtrl::GetAIHeliToAttackPlayer,472
0042f5a0,CarCtrl::CCarCtrl::JoinCarWithRoadSystem,10
0042f870,CarCtrl::CCarCtrl::JoinCarWithRoadSystemGotoCoors,5
0042fbc0,CarCtrl::ScriptGenerateOneEmergencyServicesCar,5
0042fc40,CarCtrl::CCarCtrl::ReconsiderRoute,855
00430050,CarCtrl::CCarCtrl::GenerateOneRandomCar,6
00431f80,CarCtrl::CreateCarForScript,811
004322b0,CarCtrl::RemoveCarsIfThePoolGetsFull,342
00432420,CarCtrl::CCarCtrl::SlowCarDownForCarsSectorList,413
004325c0,CarCtrl::CCarCtrl::FindAngleToWeaveThroughTraffic,1339
00432b10,CarCtrl::CCarCtrl::PickNextNodeAccordingStrategy,321
00432cb0,CarCtrl::JoinCarWithRoadAccordingToMission,184
00432dd0,CarCtrl::CCarCtrl::SteerAICarWithPhysicsFollowPreRecordedPath,1177
00433280,CarCtrl::CCarCtrl::SteerAICarWithPhysicsHeadingForTarget,841
004335e0,CarCtrl::CCarCtrl::SteerAICarWithPhysicsTryingToBlockTarget,240
004336d0,CarCtrl::CCarCtrl::SteerAICarTowardsPointInEscort,1223
00433ba0,CarCtrl::CCarCtrl::SteerAICarParkParallel,762
00433ea0,CarCtrl::CCarCtrl::SteerAICarParkPerpendicular,800
004341c0,CarCtrl::GenerateRandomCars,709
004342a0,CarCtrl::CCarCtrl::SetCoordsOfScriptCar,350
00434400,CarCtrl::CCarCtrl::FindMaximumSpeedForThisCarInTraffic,95
00434790,CarCtrl::SlowCarOnRailsDownForTrafficAndLights,365
00434900,CarCtrl::CCarCtrl::SteerAICarWithPhysicsFollowPath,3729
00435830,CarCtrl::CCarCtrl::SteerAICarWithPhysicsFollowPath_Racing,3320
00436540,CarCtrl::CCarCtrl::UpdateCarOnRails,21
00436a90,CarCtrl::CCarCtrl::SteerAICarWithPhysics_OnlyMission,4243
00437c20,CarCtrl::CCarCtrl::SteerAICarWithPhysics,14
00438370,Cheat::ApplyCheat,35
00438450,Cheat::ResetCheats,5
00438480,Cheat::AddToCheatString,289
00438890,Cheat::CCheat::WeaponCheat2,671
00438ff0,Cheat::CCheat::SuicideCheat,221
00439230,Cheat::CCheat::BeachPartyCheat,6
00439720,Cheat::CCheat::FunhouseCheat,352
00439a10,Cheat::HandleSpecialCheats,107
00439af0,Cheat::DoCheats,5
00439c70,Cheat::CCheat::EverybodyAttacksPlayerCheat,259
00439f60,Cheat::CCheat::CountrysideInvasionCheat,323
0043a0b0,Cheat::VehicleCheat,6
0043a570,Cheat::CCheat::TankerCheat,231
0043c660,Curves::CalcSpeedVariationInBend,161
0043c710,Curves::CalcSpeedScaleFactor,368
0043c880,Curves::CalcCorrectedDist,125
0043c900,Curves::CalcCurvePoint,1371
0043ceb0,Darkel::Init,5
0043cec0,Darkel::DrawMessages,782
0043d1e0,Darkel::ReadStatus,7
0043d1f0,Darkel::FrenzyOnGoing,5
0043d210,Darkel::RegisterKillNotByPlayer,194
0043d2f0,Darkel::ThisPedShouldBeKilledForFrenzy,5
0043d350,Darkel::ThisVehicleShouldBeKilledForFrenzy,5
0043d3b0,Darkel::StartFrenzy,739
0043d6a0,Darkel::ResetModelsKilledByPlayer,5
0043d6c0,Darkel::QueryModelsKilledByPlayer,5
0043d6e0,Darkel::FindTotalPedsKilledByPlayer,5
0043d7a0,Darkel::DealWithWeaponChangeAtEndOfFrenzy,8
0043d9e0,Darkel::CheckDamagedWeaponType,67
0043dac0,Darkel::Update,335
0043dc10,Darkel::ResetOnPlayerDeath,69
0043dcd0,Darkel::RegisterKillByPlayer,561
0043df20,Darkel::RegisterCarBlownUpByPlayer,224
0043e1c0,EventLeaderEntryExit::Constructor,5
0043e2e0,TaskSimpleUninterruptable::Constructor,5
0043e410,EntryExitManager::AddEntryExitToStack,5
0043e460,EntryExit::IsInArea,481
0043e650,EntryExit::GetEntryExitToDisplayNameOf,5
0043e690,EntryExit::RequestObjectsInFrustum,49
0043e6d0,EntryExit::RequestAmbientPeds,465
0043e8b0,EntryExit::GenerateAmbientPeds,223
0043e990,EntryExit::ProcessStealableObjects,112
0043ea00,EntryExit::GetPositionRelativeToOutsideWorld,143
0043ea90,EntryExit::IsTeleportPointValid,96
0043eaf0,EntryExit::FindValidTeleportPoint,512
0043ecf0,EntryExitManager::SetAreaCodeForVisibleObjects,5
0043ed80,EntryExitManager::ResetAreaCodeForVisibleObjects,5
0043efd0,EntryExitManager::GetEntryExitIndex,10
0043f0a0,EntryExitManager::PostEntryExitsCreation,5
0043f150,EntryExitManager::GetPositionRelativeToOutsideWorld,5
0043f180,EntryExitManager::EnableBurglaryHouses,5
0043f1f0,EntryExit::WarpGangWithPlayer,702
0043f4b0,EntryExitManager::FindNearestEntryExit,370
0043f630,EntryExitManager::FindNearestDoor,228
0043f880,EntryExitManager::Init,5
0043fa00,EntryExitManager::AddOne,841
0043fd50,EntryExitManager::DeleteOne,5
0043ffd0,EntryExit::TransitionStarted,1226
004404a0,EntryExit::TransitionFinished,1772
00440b90,EntryExitManager::Shutdown,5
00440c40,EntryExitManager::ShutdownForRestart,5
00440d10,EntryExitManager::Update,909
00441210,GameLogic::InitAtStartOfGame,5
00441290,GameLogic::StopPlayerMovingFromDirection,249
00441390,GameLogic::IsCoopGameGoingOn,5
004413c0,GameLogic::Remove2ndPlayerIfPresent,5
00441440,GameLogic::SortOutStreamingAndMemory,120
004414c0,GameLogic::PassTime,146
00441560,GameLogic::ClearSkip,5
004415c0,GameLogic::SkipCanBeActivated,5
004416c0,GameLogic::IsSkipWaitingForScriptToFadeIn,5
004416e0,GameLogic::IsPointWithinLineArea,137
00441770,GameLogic::SetPlayerWantedLevelForForbiddenTerritories,365
004418e0,GameLogic::CalcDistanceToForbiddenTrainCrossing,647
00441b70,GameLogic::FindCityClosestToPoint,158
00441c10,GameLogic::LaRiotsActiveHere,227
00441d30,GameLogic::RestorePedsWeapons,5
00441e10,GameLogic::IsPlayerAllowedToGoInThisDirection,6
00442020,GameLogic::IsPlayerUse2PlayerControls,5
00442060,GameLogic::RestorePlayerStuffDuringResurrection,857
004423c0,GameLogic::SetUpSkip,5
00442480,GameLogic::UpdateSkip,1051
004428b0,GameLogic::DoWeaponStuffAtStartOf2PlayerGame,5
00442ad0,GameLogic::Update,3572
00443920,GangWars::InitAtStartOfGame,5
00443950,GangWars::AddKillToProvocation,110
004439c0,GangWars::DontCreateCivilians,5
004439d0,GangWars::PedStreamedInForThisGang,14
00443a20,GangWars::PickStreamedInPedForThisGang,128
00443aa0,GangWars::GangWarGoingOn,27
00443ac0,GangWars::GangWarFightingGoingOn,5
00443b00,GangWars::PickZoneToAttack,588
00443d50,GangWars::TellStreamingWhichGangsAreNeeded,96
00443db0,GangWars::CalculateTimeTillNextAttack,46
00443de0,GangWars::UpdateTerritoryUnderControlPercentage,413
00443f80,GangWars::CanPlayerStartAGangWarHere,5
00443ff0,GangWars::ClearSpecificZonesToTriggerGangWar,5
00444010,GangWars::SetSpecificZoneToTriggerGangWar,35
00444040,GangWars::CheerVictory,272
00444300,GangWars::StartDefensiveGangWar,404
004444b0,GangWars::ClearTheStreets,5
00444530,GangWars::TellGangMembersTo,5
00444810,GangWars::CreateAttackWave,7
004453d0,GangWars::CreateDefendingGroup,1865
00445b30,GangWars::AttackWaveOvercome,10
00445c30,GangWars::ReleasePedsInAttackWave,5
00445e20,GangWars::ReleaseCarsInAttackWave,81
00445e80,GangWars::MakePlayerGainInfluenceInZone,196
00445f50,GangWars::StrengthenPlayerInfluenceInZone,5
00445fd0,GangWars::MakeEnemyGainInfluenceInZone,126
00446050,GangWars::StartOffensiveGangWar,932
00446400,GangWars::DoStuffWhenPlayerVictorious,184
004464c0,GangWars::EndGangWar,6
00446570,GangWars::SetGangWarsActive,116
00446610,GangWars::Update,2112
00447120,Garages::Init,143
004471b0,Garages::Shutdown,5
004471e0,Garages::AddOne,1044
00447600,Garage::InitDoorsAtStart,61
00447680,Garages::GetGarageNumberByName,5
004476d0,Garages::ChangeGarageType,5
00447790,Garages::PrintMessages,513
004479a0,Garages::IsCarSprayable,5
004479f0,Garage::BuildRotatedDoorMatrix,389
00447b80,Garages::TriggerMessage,5
00447c40,Garages::SetTargetCarForMissionGarage,5
00447cb0,Garages::DeActivateGarage,5
00447cd0,Garages::ActivateGarage,5
00447d00,Garages::IsGarageOpen,5
00447d30,Garages::IsGarageClosed,5
00447d50,Garage::OpenThisGarage,5
00447d70,Garage::CloseThisGarage,5
00447e40,Garage::CStoredCar::RestoreCar,1211
00448650,Garages::GivePlayerDetonator,5
00448660,Garages::CGarages::GivePlayerDetonator,5
004486c0,Garage::PlayerArrestedOrDied,60
00448740,Garage::IsPointInsideGarage,138
004487d0,Garage::IsPointInsideGarage,174
00448900,Garages::IsPointWithinHideOutGarage,6
00448990,Garages::CGarages::IsPointWithinAnyGarage,5
004489f0,Garages::FindSafeHouseIndexForGarageType,136
00448af0,Garages::IsModelIndexADoor,62
00448b30,Garages::AllRespraysCloseOrOpen,5
00448b60,Garages::Init_AfterRestart,105
00448be0,Garage::IsEntityEntirelyInside3D,333
00448d30,Garage::IsEntityEntirelyOutside,281
00448ee0,Garage::IsEntityTouching3D,356
00449050,Garage::EntityHasASphereWayOutsideGarage,162
00449690,Garage::RemoveCarsBlockingDoorNotInside,175
00449760,Garage::CStoredCar::StoreCar,411
00449900,Garage::StoreAndRemoveCarsForThisHideOut,319
00449ba0,Garages::CGarages::IsPointInAGarageCameraZone,93
00449e60,Garages::PlayerArrestedOrDied,5
0044a170,Garages::CloseHideOutGaragesBeforeSave,159
0044a210,Garages::CountCarsInHideoutGarage,5
0044a240,Garages::FindGarageForObject,370
0044a3c0,Garages::StoreCarInNearestImpoundingGarage,263
0044a830,Garage::IsStaticPlayerCarEntirelyInside,38
0044a9c0,Garage::CGarage::IsGarageEmpty,141
0044aa50,Garage::Update,7553
0044c8c0,Garages::Update,885
0044cb10,OnscreenTimerEntry::COnscreenTimerEntry::Process,167
0044cbc0,OnscreenTimer::COnscreenTimer::Init,5
0044cc20,OnscreenTimer::COnscreenTimer::ProcessForDisplay,5
0044cd30,OnscreenTimer::COnscreenTimer::Process,25
0044cd50,OnscreenTimer::AddClock,5
0044cda0,OnscreenTimer::AddCounter,5
0044ce60,OnscreenTimer::ClearClock,5
0044ce80,OnscreenTimer::ClearCounter,5
0044ceb0,OnscreenTimer::SetCounterFlashWhenFirstDisplayed,5
0044cee0,OnscreenTimer::SetClockBeepCountdownSecs,5
0044d080,PathFind::Init,5
0044d0f0,PathFind::UnLoadPathFindData,5
0044d230,PathFind::These2NodesAreAdjacent,5
0044d310,PathFind::ThisNodeWillLeadIntoADeadEnd,5
0044d3b0,PathFind::TidyUpNodeSwitchesAfterMission,5
0044d3e0,PathFind::ThisNodeHasToBeSwitchedOff,5
0044d400,PathFind::UnMarkAllRoadNodesAsDontWander,5
0044d480,PathFind::TestForPedTrafficLight,5
0044d790,PathFind::TestCrossesRoad,5
0044d830,PathFind::FindRegionForCoors,92
0044d890,PathFind::FindXRegionForCoors,44
0044d8c0,PathFind::FindYRegionForCoors,44
0044d8f0,PathFind::FindXCoorsForRegion,19
0044d910,PathFind::FindYCoorsForRegion,19
0044d960,PathFind::SetLinksBridgeLights,179
0044db60,PathFind::MarkRegionsForCoors,355
0044dcd0,PathFind::SetPathsNeededAtPosition,5
0044dd00,PathFind::ReleaseRequestedNodes,5
0044dd10,PathFind::AreNodesLoadedForArea,230
0044de00,PathFind::LoadSceneForPathNodes,5
0044de80,PathFind::StartNewInterior,5
0044ded0,PathFind::AddInteriorLink,5
0044df30,PathFind::AddInteriorLinkToExternalNode,36
0044e000,PathFind::AddDynamicLinkBetween2Nodes_For1Node,5
0044e1a0,PathFind::RemoveInterior,5
0044e4e0,PathFind::ReInit,5
0044eca0,PathFind::CPathFind::GeneratePedCreationCoors_Interior,787
0044efc0,PathFind::CalcRoadDensity,454
0044f190,PathFind::CalcDistToAnyConnectingLinks,298
0044f2c0,PathFind::FindNodeClosestInRegion,9
0044f460,PathFind::CPathFind::FindNodeClosestToCoors,1115
0044f8c0,PathFind::FindNthNodeClosestToCoors,354
0044fa30,PathFind::FindNodeClosestToCoors,285
0044fce0,PathFind::FindNodeClosestToCoorsFavourDirection,488
0044fee0,PathFind::FindNodePairClosestToCoors,1077
00450320,PathFind::FindNodeOrientationForCarPlacement,8
004504f0,PathFind::CountNeighboursToBeSwitchedOff,5
004505e0,PathFind::FindNodeCoorsForScript,404
00450780,PathFind::FindNodeCoorsForScript,454
00450950,PathFind::Shutdown,5
004509a0,PathFind::TakeWidthIntoAccountForWandering,189
00450a60,PathFind::UpdateStreaming,772
00450d70,PathFind::MakeRequestForNodesToBeLoaded,5
00450de0,PathFind::IsWaterNodeNearby,166
00450e90,PathFind::AddNodeToNewInterior,6
00450f30,PathFind::FindNearestExteriorNodeToInteriorNode,113
00451350,PathFind::FindLinkBetweenNodes,5
004513f0,PathFind::FindParkingNodeInArea,476
004515d0,PathFind::DoPathSearch,1389
00451b70,PathFind::FindNextNodeWandering,997
00452090,PathFind::Find2NodesForCarCreation,5
00452160,PathFind::SwitchOffNodeAndNeighbours,5
00452270,PathFind::CompleteNewInterior,1244
00452760,PathFind::ComputeRoute,5
00452820,PathFind::SwitchRoadsOffInAreaForOneRegion,439
